WeekBeginning,WeekEnding,AgeGroup,Pathogen,RatePer100000
20161003,20161009,<1 years,Adenovirus,0
20161003,20161009,<1 years,Human metapneumovirus,1.8
20161003,20161009,<1 years,Influenza - Type A (any subtype),0
20161003,20161009,<1 years,Influenza - Type A (not subtyped),0
20161003,20161009,<1 years,Influenza - Type A or B,0
20161003,20161009,<1 years,Influenza - Type A(H1N1)pdm09,0
20161003,20161009,<1 years,Influenza - Type A(H3),0
20161003,20161009,<1 years,Influenza - Type B,0
20161003,20161009,<1 years,Mycoplasma pneumoniae,0
20161003,20161009,<1 years,Parainfluenza virus,3.6
20161003,20161009,<1 years,Respiratory syncytial virus,21.6
20161003,20161009,<1 years,Rhinovirus,36
20161003,20161009,<1 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161003,20161009,1-4 years,Adenovirus,10.8
20161003,20161009,1-4 years,Human metapneumovirus,1.3
20161003,20161009,1-4 years,Influenza - Type A (any subtype),0
20161003,20161009,1-4 years,Influenza - Type A (not subtyped),0
20161003,20161009,1-4 years,Influenza - Type A or B,0
20161003,20161009,1-4 years,Influenza - Type A(H1N1)pdm09,0
20161003,20161009,1-4 years,Influenza - Type A(H3),0
20161003,20161009,1-4 years,Influenza - Type B,0
20161003,20161009,1-4 years,Mycoplasma pneumoniae,1.3
20161003,20161009,1-4 years,Parainfluenza virus,6
20161003,20161009,1-4 years,Respiratory syncytial virus,20.3
20161003,20161009,1-4 years,Rhinovirus,26.8
20161003,20161009,1-4 years,Seasonal coronavirus (Non-SARS-CoV-2),0.9
20161003,20161009,5-14 years,Adenovirus,0.5
20161003,20161009,5-14 years,Human metapneumovirus,0.2
20161003,20161009,5-14 years,Influenza - Type A (any subtype),0.2
20161003,20161009,5-14 years,Influenza - Type A (not subtyped),0
20161003,20161009,5-14 years,Influenza - Type A or B,0.2
20161003,20161009,5-14 years,Influenza - Type A(H1N1)pdm09,0
20161003,20161009,5-14 years,Influenza - Type A(H3),0.2
20161003,20161009,5-14 years,Influenza - Type B,0.2
20161003,20161009,5-14 years,Mycoplasma pneumoniae,0.5
20161003,20161009,5-14 years,Parainfluenza virus,0.3
20161003,20161009,5-14 years,Respiratory syncytial virus,1
20161003,20161009,5-14 years,Rhinovirus,4.5
20161003,20161009,5-14 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161003,20161009,15-44 years,Adenovirus,0.3
20161003,20161009,15-44 years,Human metapneumovirus,0
20161003,20161009,15-44 years,Influenza - Type A (any subtype),0
20161003,20161009,15-44 years,Influenza - Type A (not subtyped),0
20161003,20161009,15-44 years,Influenza - Type A or B,0
20161003,20161009,15-44 years,Influenza - Type A(H1N1)pdm09,0
20161003,20161009,15-44 years,Influenza - Type A(H3),0
20161003,20161009,15-44 years,Influenza - Type B,0
20161003,20161009,15-44 years,Mycoplasma pneumoniae,0.3
20161003,20161009,15-44 years,Parainfluenza virus,0.4
20161003,20161009,15-44 years,Respiratory syncytial virus,0.1
20161003,20161009,15-44 years,Rhinovirus,1.1
20161003,20161009,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0.1
20161003,20161009,45-64 years,Adenovirus,0.1
20161003,20161009,45-64 years,Human metapneumovirus,0.1
20161003,20161009,45-64 years,Influenza - Type A (any subtype),0.1
20161003,20161009,45-64 years,Influenza - Type A (not subtyped),0
20161003,20161009,45-64 years,Influenza - Type A or B,0.1
20161003,20161009,45-64 years,Influenza - Type A(H1N1)pdm09,0.1
20161003,20161009,45-64 years,Influenza - Type A(H3),0
20161003,20161009,45-64 years,Influenza - Type B,0.1
20161003,20161009,45-64 years,Mycoplasma pneumoniae,0.4
20161003,20161009,45-64 years,Parainfluenza virus,0.2
20161003,20161009,45-64 years,Respiratory syncytial virus,0.1
20161003,20161009,45-64 years,Rhinovirus,1.7
20161003,20161009,45-64 years,Seasonal coronavirus (Non-SARS-CoV-2),0.1
20161003,20161009,65-74 years,Adenovirus,0
20161003,20161009,65-74 years,Human metapneumovirus,0.2
20161003,20161009,65-74 years,Influenza - Type A (any subtype),0.5
20161003,20161009,65-74 years,Influenza - Type A (not subtyped),0
20161003,20161009,65-74 years,Influenza - Type A or B,0.5
20161003,20161009,65-74 years,Influenza - Type A(H1N1)pdm09,0.4
20161003,20161009,65-74 years,Influenza - Type A(H3),0.2
20161003,20161009,65-74 years,Influenza - Type B,0
20161003,20161009,65-74 years,Mycoplasma pneumoniae,0.2
20161003,20161009,65-74 years,Parainfluenza virus,0.4
20161003,20161009,65-74 years,Respiratory syncytial virus,0
20161003,20161009,65-74 years,Rhinovirus,1.1
20161003,20161009,65-74 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161003,20161009,75+ years,Adenovirus,0.2
20161003,20161009,75+ years,Human metapneumovirus,0.2
20161003,20161009,75+ years,Influenza - Type A (any subtype),0.5
20161003,20161009,75+ years,Influenza - Type A (not subtyped),0
20161003,20161009,75+ years,Influenza - Type A or B,0.5
20161003,20161009,75+ years,Influenza - Type A(H1N1)pdm09,0
20161003,20161009,75+ years,Influenza - Type A(H3),0.5
20161003,20161009,75+ years,Influenza - Type B,0
20161003,20161009,75+ years,Mycoplasma pneumoniae,0
20161003,20161009,75+ years,Parainfluenza virus,0
20161003,20161009,75+ years,Respiratory syncytial virus,0.2
20161003,20161009,75+ years,Rhinovirus,2.7
20161003,20161009,75+ years,Seasonal coronavirus (Non-SARS-CoV-2),0.2
20161010,20161016,<1 years,Adenovirus,3.6
20161010,20161016,<1 years,Human metapneumovirus,1.8
20161010,20161016,<1 years,Influenza - Type A (any subtype),0
20161010,20161016,<1 years,Influenza - Type A (not subtyped),0
20161010,20161016,<1 years,Influenza - Type A or B,0
20161010,20161016,<1 years,Influenza - Type A(H1N1)pdm09,0
20161010,20161016,<1 years,Influenza - Type A(H3),0
20161010,20161016,<1 years,Influenza - Type B,0
20161010,20161016,<1 years,Mycoplasma pneumoniae,0
20161010,20161016,<1 years,Parainfluenza virus,1.8
20161010,20161016,<1 years,Respiratory syncytial virus,45
20161010,20161016,<1 years,Rhinovirus,46.8
20161010,20161016,<1 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161010,20161016,1-4 years,Adenovirus,8.6
20161010,20161016,1-4 years,Human metapneumovirus,0.9
20161010,20161016,1-4 years,Influenza - Type A (any subtype),0
20161010,20161016,1-4 years,Influenza - Type A (not subtyped),0
20161010,20161016,1-4 years,Influenza - Type A or B,0
20161010,20161016,1-4 years,Influenza - Type A(H1N1)pdm09,0
20161010,20161016,1-4 years,Influenza - Type A(H3),0
20161010,20161016,1-4 years,Influenza - Type B,0
20161010,20161016,1-4 years,Mycoplasma pneumoniae,1.7
20161010,20161016,1-4 years,Parainfluenza virus,4.3
20161010,20161016,1-4 years,Respiratory syncytial virus,22
20161010,20161016,1-4 years,Rhinovirus,27.6
20161010,20161016,1-4 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161010,20161016,5-14 years,Adenovirus,0.7
20161010,20161016,5-14 years,Human metapneumovirus,0
20161010,20161016,5-14 years,Influenza - Type A (any subtype),0
20161010,20161016,5-14 years,Influenza - Type A (not subtyped),0
20161010,20161016,5-14 years,Influenza - Type A or B,0
20161010,20161016,5-14 years,Influenza - Type A(H1N1)pdm09,0
20161010,20161016,5-14 years,Influenza - Type A(H3),0
20161010,20161016,5-14 years,Influenza - Type B,0
20161010,20161016,5-14 years,Mycoplasma pneumoniae,0.7
20161010,20161016,5-14 years,Parainfluenza virus,1
20161010,20161016,5-14 years,Respiratory syncytial virus,1.2
20161010,20161016,5-14 years,Rhinovirus,4.4
20161010,20161016,5-14 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161010,20161016,15-44 years,Adenovirus,0.5
20161010,20161016,15-44 years,Human metapneumovirus,0.1
20161010,20161016,15-44 years,Influenza - Type A (any subtype),0
20161010,20161016,15-44 years,Influenza - Type A (not subtyped),0
20161010,20161016,15-44 years,Influenza - Type A or B,0
20161010,20161016,15-44 years,Influenza - Type A(H1N1)pdm09,0
20161010,20161016,15-44 years,Influenza - Type A(H3),0
20161010,20161016,15-44 years,Influenza - Type B,0
20161010,20161016,15-44 years,Mycoplasma pneumoniae,0.6
20161010,20161016,15-44 years,Parainfluenza virus,0.3
20161010,20161016,15-44 years,Respiratory syncytial virus,0.2
20161010,20161016,15-44 years,Rhinovirus,0.9
20161010,20161016,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161010,20161016,45-64 years,Adenovirus,0.1
20161010,20161016,45-64 years,Human metapneumovirus,0.1
20161010,20161016,45-64 years,Influenza - Type A (any subtype),0
20161010,20161016,45-64 years,Influenza - Type A (not subtyped),0
20161010,20161016,45-64 years,Influenza - Type A or B,0
20161010,20161016,45-64 years,Influenza - Type A(H1N1)pdm09,0
20161010,20161016,45-64 years,Influenza - Type A(H3),0
20161010,20161016,45-64 years,Influenza - Type B,0
20161010,20161016,45-64 years,Mycoplasma pneumoniae,0.1
20161010,20161016,45-64 years,Parainfluenza virus,0.3
20161010,20161016,45-64 years,Respiratory syncytial virus,0.1
20161010,20161016,45-64 years,Rhinovirus,0.9
20161010,20161016,45-64 years,Seasonal coronavirus (Non-SARS-CoV-2),0.1
20161010,20161016,65-74 years,Adenovirus,0.7
20161010,20161016,65-74 years,Human metapneumovirus,0.2
20161010,20161016,65-74 years,Influenza - Type A (any subtype),0.4
20161010,20161016,65-74 years,Influenza - Type A (not subtyped),0
20161010,20161016,65-74 years,Influenza - Type A or B,0.4
20161010,20161016,65-74 years,Influenza - Type A(H1N1)pdm09,0
20161010,20161016,65-74 years,Influenza - Type A(H3),0.4
20161010,20161016,65-74 years,Influenza - Type B,0
20161010,20161016,65-74 years,Mycoplasma pneumoniae,0
20161010,20161016,65-74 years,Parainfluenza virus,0.5
20161010,20161016,65-74 years,Respiratory syncytial virus,0.7
20161010,20161016,65-74 years,Rhinovirus,2.9
20161010,20161016,65-74 years,Seasonal coronavirus (Non-SARS-CoV-2),0.2
20161010,20161016,75+ years,Adenovirus,0
20161010,20161016,75+ years,Human metapneumovirus,0
20161010,20161016,75+ years,Influenza - Type A (any subtype),0.2
20161010,20161016,75+ years,Influenza - Type A (not subtyped),0.2
20161010,20161016,75+ years,Influenza - Type A or B,0.2
20161010,20161016,75+ years,Influenza - Type A(H1N1)pdm09,0
20161010,20161016,75+ years,Influenza - Type A(H3),0
20161010,20161016,75+ years,Influenza - Type B,0
20161010,20161016,75+ years,Mycoplasma pneumoniae,0
20161010,20161016,75+ years,Parainfluenza virus,0.2
20161010,20161016,75+ years,Respiratory syncytial virus,0.7
20161010,20161016,75+ years,Rhinovirus,2
20161010,20161016,75+ years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161017,20161023,<1 years,Adenovirus,1.8
20161017,20161023,<1 years,Human metapneumovirus,0
20161017,20161023,<1 years,Influenza - Type A (any subtype),0
20161017,20161023,<1 years,Influenza - Type A (not subtyped),0
20161017,20161023,<1 years,Influenza - Type A or B,0
20161017,20161023,<1 years,Influenza - Type A(H1N1)pdm09,0
20161017,20161023,<1 years,Influenza - Type A(H3),0
20161017,20161023,<1 years,Influenza - Type B,0
20161017,20161023,<1 years,Mycoplasma pneumoniae,0
20161017,20161023,<1 years,Parainfluenza virus,3.6
20161017,20161023,<1 years,Respiratory syncytial virus,64.8
20161017,20161023,<1 years,Rhinovirus,52.2
20161017,20161023,<1 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161017,20161023,1-4 years,Adenovirus,13.8
20161017,20161023,1-4 years,Human metapneumovirus,1.7
20161017,20161023,1-4 years,Influenza - Type A (any subtype),0
20161017,20161023,1-4 years,Influenza - Type A (not subtyped),0
20161017,20161023,1-4 years,Influenza - Type A or B,0
20161017,20161023,1-4 years,Influenza - Type A(H1N1)pdm09,0
20161017,20161023,1-4 years,Influenza - Type A(H3),0
20161017,20161023,1-4 years,Influenza - Type B,0
20161017,20161023,1-4 years,Mycoplasma pneumoniae,2.6
20161017,20161023,1-4 years,Parainfluenza virus,4.7
20161017,20161023,1-4 years,Respiratory syncytial virus,27.2
20161017,20161023,1-4 years,Rhinovirus,19.9
20161017,20161023,1-4 years,Seasonal coronavirus (Non-SARS-CoV-2),0.4
20161017,20161023,5-14 years,Adenovirus,0.5
20161017,20161023,5-14 years,Human metapneumovirus,0
20161017,20161023,5-14 years,Influenza - Type A (any subtype),0.2
20161017,20161023,5-14 years,Influenza - Type A (not subtyped),0.2
20161017,20161023,5-14 years,Influenza - Type A or B,0.2
20161017,20161023,5-14 years,Influenza - Type A(H1N1)pdm09,0
20161017,20161023,5-14 years,Influenza - Type A(H3),0
20161017,20161023,5-14 years,Influenza - Type B,0
20161017,20161023,5-14 years,Mycoplasma pneumoniae,1.4
20161017,20161023,5-14 years,Parainfluenza virus,0.2
20161017,20161023,5-14 years,Respiratory syncytial virus,0.2
20161017,20161023,5-14 years,Rhinovirus,1.9
20161017,20161023,5-14 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161017,20161023,15-44 years,Adenovirus,0.4
20161017,20161023,15-44 years,Human metapneumovirus,0
20161017,20161023,15-44 years,Influenza - Type A (any subtype),0
20161017,20161023,15-44 years,Influenza - Type A (not subtyped),0
20161017,20161023,15-44 years,Influenza - Type A or B,0
20161017,20161023,15-44 years,Influenza - Type A(H1N1)pdm09,0
20161017,20161023,15-44 years,Influenza - Type A(H3),0
20161017,20161023,15-44 years,Influenza - Type B,0
20161017,20161023,15-44 years,Mycoplasma pneumoniae,0.4
20161017,20161023,15-44 years,Parainfluenza virus,0
20161017,20161023,15-44 years,Respiratory syncytial virus,0.1
20161017,20161023,15-44 years,Rhinovirus,0.8
20161017,20161023,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0.1
20161017,20161023,45-64 years,Adenovirus,0.1
20161017,20161023,45-64 years,Human metapneumovirus,0
20161017,20161023,45-64 years,Influenza - Type A (any subtype),0.1
20161017,20161023,45-64 years,Influenza - Type A (not subtyped),0
20161017,20161023,45-64 years,Influenza - Type A or B,0.1
20161017,20161023,45-64 years,Influenza - Type A(H1N1)pdm09,0
20161017,20161023,45-64 years,Influenza - Type A(H3),0.1
20161017,20161023,45-64 years,Influenza - Type B,0
20161017,20161023,45-64 years,Mycoplasma pneumoniae,0.3
20161017,20161023,45-64 years,Parainfluenza virus,0.5
20161017,20161023,45-64 years,Respiratory syncytial virus,0.5
20161017,20161023,45-64 years,Rhinovirus,0.8
20161017,20161023,45-64 years,Seasonal coronavirus (Non-SARS-CoV-2),0.1
20161017,20161023,65-74 years,Adenovirus,0.5
20161017,20161023,65-74 years,Human metapneumovirus,0
20161017,20161023,65-74 years,Influenza - Type A (any subtype),0.2
20161017,20161023,65-74 years,Influenza - Type A (not subtyped),0.2
20161017,20161023,65-74 years,Influenza - Type A or B,0.2
20161017,20161023,65-74 years,Influenza - Type A(H1N1)pdm09,0
20161017,20161023,65-74 years,Influenza - Type A(H3),0
20161017,20161023,65-74 years,Influenza - Type B,0
20161017,20161023,65-74 years,Mycoplasma pneumoniae,0.5
20161017,20161023,65-74 years,Parainfluenza virus,0.7
20161017,20161023,65-74 years,Respiratory syncytial virus,0.5
20161017,20161023,65-74 years,Rhinovirus,2.2
20161017,20161023,65-74 years,Seasonal coronavirus (Non-SARS-CoV-2),0.4
20161017,20161023,75+ years,Adenovirus,0
20161017,20161023,75+ years,Human metapneumovirus,0.2
20161017,20161023,75+ years,Influenza - Type A (any subtype),0
20161017,20161023,75+ years,Influenza - Type A (not subtyped),0
20161017,20161023,75+ years,Influenza - Type A or B,0
20161017,20161023,75+ years,Influenza - Type A(H1N1)pdm09,0
20161017,20161023,75+ years,Influenza - Type A(H3),0
20161017,20161023,75+ years,Influenza - Type B,0
20161017,20161023,75+ years,Mycoplasma pneumoniae,0.2
20161017,20161023,75+ years,Parainfluenza virus,1.8
20161017,20161023,75+ years,Respiratory syncytial virus,1.1
20161017,20161023,75+ years,Rhinovirus,1.8
20161017,20161023,75+ years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161024,20161030,<1 years,Adenovirus,0
20161024,20161030,<1 years,Human metapneumovirus,0
20161024,20161030,<1 years,Influenza - Type A (any subtype),0
20161024,20161030,<1 years,Influenza - Type A (not subtyped),0
20161024,20161030,<1 years,Influenza - Type A or B,0
20161024,20161030,<1 years,Influenza - Type A(H1N1)pdm09,0
20161024,20161030,<1 years,Influenza - Type A(H3),0
20161024,20161030,<1 years,Influenza - Type B,0
20161024,20161030,<1 years,Mycoplasma pneumoniae,3.6
20161024,20161030,<1 years,Parainfluenza virus,5.4
20161024,20161030,<1 years,Respiratory syncytial virus,68.4
20161024,20161030,<1 years,Rhinovirus,36
20161024,20161030,<1 years,Seasonal coronavirus (Non-SARS-CoV-2),1.8
20161024,20161030,1-4 years,Adenovirus,11.7
20161024,20161030,1-4 years,Human metapneumovirus,1.3
20161024,20161030,1-4 years,Influenza - Type A (any subtype),0
20161024,20161030,1-4 years,Influenza - Type A (not subtyped),0
20161024,20161030,1-4 years,Influenza - Type A or B,0.4
20161024,20161030,1-4 years,Influenza - Type A(H1N1)pdm09,0
20161024,20161030,1-4 years,Influenza - Type A(H3),0
20161024,20161030,1-4 years,Influenza - Type B,0.4
20161024,20161030,1-4 years,Mycoplasma pneumoniae,3.5
20161024,20161030,1-4 years,Parainfluenza virus,5.2
20161024,20161030,1-4 years,Respiratory syncytial virus,33.7
20161024,20161030,1-4 years,Rhinovirus,25.9
20161024,20161030,1-4 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161024,20161030,5-14 years,Adenovirus,0.3
20161024,20161030,5-14 years,Human metapneumovirus,0.2
20161024,20161030,5-14 years,Influenza - Type A (any subtype),0.2
20161024,20161030,5-14 years,Influenza - Type A (not subtyped),0
20161024,20161030,5-14 years,Influenza - Type A or B,0.2
20161024,20161030,5-14 years,Influenza - Type A(H1N1)pdm09,0
20161024,20161030,5-14 years,Influenza - Type A(H3),0.2
20161024,20161030,5-14 years,Influenza - Type B,0
20161024,20161030,5-14 years,Mycoplasma pneumoniae,1.6
20161024,20161030,5-14 years,Parainfluenza virus,0.3
20161024,20161030,5-14 years,Respiratory syncytial virus,0.7
20161024,20161030,5-14 years,Rhinovirus,1.7
20161024,20161030,5-14 years,Seasonal coronavirus (Non-SARS-CoV-2),0.2
20161024,20161030,15-44 years,Adenovirus,0.2
20161024,20161030,15-44 years,Human metapneumovirus,0
20161024,20161030,15-44 years,Influenza - Type A (any subtype),0
20161024,20161030,15-44 years,Influenza - Type A (not subtyped),0
20161024,20161030,15-44 years,Influenza - Type A or B,0
20161024,20161030,15-44 years,Influenza - Type A(H1N1)pdm09,0
20161024,20161030,15-44 years,Influenza - Type A(H3),0
20161024,20161030,15-44 years,Influenza - Type B,0
20161024,20161030,15-44 years,Mycoplasma pneumoniae,0.6
20161024,20161030,15-44 years,Parainfluenza virus,0.2
20161024,20161030,15-44 years,Respiratory syncytial virus,0.3
20161024,20161030,15-44 years,Rhinovirus,1.2
20161024,20161030,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0.1
20161024,20161030,45-64 years,Adenovirus,0.1
20161024,20161030,45-64 years,Human metapneumovirus,0.1
20161024,20161030,45-64 years,Influenza - Type A (any subtype),0.1
20161024,20161030,45-64 years,Influenza - Type A (not subtyped),0.1
20161024,20161030,45-64 years,Influenza - Type A or B,0.1
20161024,20161030,45-64 years,Influenza - Type A(H1N1)pdm09,0
20161024,20161030,45-64 years,Influenza - Type A(H3),0
20161024,20161030,45-64 years,Influenza - Type B,0
20161024,20161030,45-64 years,Mycoplasma pneumoniae,0.5
20161024,20161030,45-64 years,Parainfluenza virus,0.2
20161024,20161030,45-64 years,Respiratory syncytial virus,0.3
20161024,20161030,45-64 years,Rhinovirus,1.6
20161024,20161030,45-64 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161024,20161030,65-74 years,Adenovirus,0
20161024,20161030,65-74 years,Human metapneumovirus,0
20161024,20161030,65-74 years,Influenza - Type A (any subtype),0
20161024,20161030,65-74 years,Influenza - Type A (not subtyped),0
20161024,20161030,65-74 years,Influenza - Type A or B,0
20161024,20161030,65-74 years,Influenza - Type A(H1N1)pdm09,0
20161024,20161030,65-74 years,Influenza - Type A(H3),0
20161024,20161030,65-74 years,Influenza - Type B,0
20161024,20161030,65-74 years,Mycoplasma pneumoniae,0.2
20161024,20161030,65-74 years,Parainfluenza virus,0.7
20161024,20161030,65-74 years,Respiratory syncytial virus,1.8
20161024,20161030,65-74 years,Rhinovirus,1.1
20161024,20161030,65-74 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161024,20161030,75+ years,Adenovirus,0.2
20161024,20161030,75+ years,Human metapneumovirus,0.5
20161024,20161030,75+ years,Influenza - Type A (any subtype),0
20161024,20161030,75+ years,Influenza - Type A (not subtyped),0
20161024,20161030,75+ years,Influenza - Type A or B,0
20161024,20161030,75+ years,Influenza - Type A(H1N1)pdm09,0
20161024,20161030,75+ years,Influenza - Type A(H3),0
20161024,20161030,75+ years,Influenza - Type B,0
20161024,20161030,75+ years,Mycoplasma pneumoniae,0
20161024,20161030,75+ years,Parainfluenza virus,0
