WeekBeginning,WeekEnding,Pathogen,NumberCasesPerWeek
20161003,20161009,Adenovirus,36
20161003,20161009,Human metapneumovirus,10
20161003,20161009,Influenza - Type A (any subtype),7
20161003,20161009,Influenza - Type A (not subtyped),0
20161003,20161009,Influenza - Type A or B,8
20161003,20161009,Influenza - Type A(H1N1)pdm09,3
20161003,20161009,Influenza - Type A(H3),4
20161003,20161009,Influenza - Type B,3
20161003,20161009,Mycoplasma pneumoniae,19
20161003,20161009,Parainfluenza virus,31
20161003,20161009,Respiratory syncytial virus,70
20161003,20161009,Rhinovirus,173
20161003,20161009,Seasonal coronavirus (Non-SARS-CoV-2),6
20161010,20161016,Adenovirus,41
20161010,20161016,Human metapneumovirus,7
20161010,20161016,Influenza - Type A (any subtype),4
20161010,20161016,Influenza - Type A (not subtyped),1
20161010,20161016,Influenza - Type A or B,4
20161010,20161016,Influenza - Type A(H1N1)pdm09,1
20161010,20161016,Influenza - Type A(H3),2
20161010,20161016,Influenza - Type B,0
20161010,20161016,Mycoplasma pneumoniae,23
20161010,20161016,Parainfluenza virus,32
20161010,20161016,Respiratory syncytial virus,96
20161010,20161016,Rhinovirus,171
20161010,20161016,Seasonal coronavirus (Non-SARS-CoV-2),3
20161017,20161023,Adenovirus,49
20161017,20161023,Human metapneumovirus,5
20161017,20161023,Influenza - Type A (any subtype),4
20161017,20161023,Influenza - Type A (not subtyped),3
20161017,20161023,Influenza - Type A or B,4
20161017,20161023,Influenza - Type A(H1N1)pdm09,0
20161017,20161023,Influenza - Type A(H3),1
20161017,20161023,Influenza - Type B,0
20161017,20161023,Mycoplasma pneumoniae,31
20161017,20161023,Parainfluenza virus,34
20161017,20161023,Respiratory syncytial virus,118
20161017,20161023,Rhinovirus,134
20161017,20161023,Seasonal coronavirus (Non-SARS-CoV-2),6
20161024,20161030,Adenovirus,36
20161024,20161030,Human metapneumovirus,7
20161024,20161030,Influenza - Type A (any subtype),2
20161024,20161030,Influenza - Type A (not subtyped),1
20161024,20161030,Influenza - Type A or B,3
20161024,20161030,Influenza - Type A(H1N1)pdm09,0
20161024,20161030,Influenza - Type A(H3),1
20161024,20161030,Influenza - Type B,1
20161024,20161030,Mycoplasma pneumoniae,39
20161024,20161030,Parainfluenza virus,28
20161024,20161030,Respiratory syncytial virus,144
20161024,20161030,Rhinovirus,151
20161024,20161030,Seasonal coronavirus (Non-SARS-CoV-2),5
20161031,20161106,Adenovirus,46
20161031,20161106,Human metapneumovirus,16
20161031,20161106,Influenza - Type A (any subtype),8
20161031,20161106,Influenza - Type A (not subtyped),0
20161031,20161106,Influenza - Type A or B,9
20161031,20161106,Influenza - Type A(H1N1)pdm09,0
