WeekEnding,HealthBoardOfTreatment,HealthBoardOfTreatmentQF,InfluenzaAdmissions,InfluenzaAdmissionsQF,RSVAdmissions,RSVAdmissionsQF
20200301,S08000015,,1,,0,
20200301,S08000016,,0,,0,
20200301,S08000017,,3,,0,
20200301,S08000029,,2,,1,
20200301,S08000019,,2,,4,
20200301,S08000020,,7,,4,
20200301,S08000031,,16,,8,
20200301,S08000022,,0,,2,
20200301,S08000032,,5,,3,
20200301,S08000024,,2,,5,
20200301,S08000025,,0,,0,
20200301,S08000026,,0,,0,
20200301,S08000030,,1,,2,
20200301,S08000028,,0,,0,
20200301,SB0801,,,:,0,
20200301,S92000003,d,39,,29,
20200308,S08000015,,6,,3,
20200308,S08000016,,0,,1,
20200308,S08000017,,1,,0,
20200308,S08000029,,5,,0,
20200308,S08000019,,2,,0,
20200308,S08000020,,9,,2,
20200308,S08000031,,31,,6,
20200308,S08000022,,2,,4,
20200308,S08000032,,13,,2,
20200308,S08000024,,14,,5,
20200308,S08000025,,0,,0,
20200308,S08000026,,1,,0,
20200308,S08000030,,5,,2,
20200308,S08000028,,0,,0,
20200308,SB0801,,,:,1,
20200308,S92000003,d,89,,26,
20200315,S08000015,,9,,2,
20200315,S08000016,,1,,0,
20200315,S08000017,,6,,2,
20200315,S08000029,,6,,0,
20200315,S08000019,,4,,1,
20200315,S08000020,,9,,0,
20200315,S08000031,,46,,11,
20200315,S08000022,,2,,0,
20200315,S08000032,,10,,3,
20200315,S08000024,,9,,2,
20200315,S08000025,,0,,0,
20200315,S08000026,,1,,0,
20200315,S08000030,,5,,0,
20200315,S08000028,,0,,1,
20200315,SB0801,,,:,0,
20200315,S92000003,d,109,,22,
20200322,S08000015,,2,,3,
20200322,S08000016,,0,,0,
20200322,S08000017,,1,,0,
20200322,S08000029,,0,,0,
20200322,S08000019,,0,,0,
20200322,S08000020,,8,,1,
20200322,S08000031,,11,,8,
20200322,S08000022,,4,,1,
20200322,S08000032,,1,,0,
20200322,S08000024,,4,,4,
20200322,S08000025,,0,,0,
20200322,S08000026,,0,,0,
20200322,S08000030,,3,,0,
